quicher		ki.ʃe	quicher	VER	VER				0.05	0.05	0.05																									
rember		ʁɛm.bœʁ	rember	VER	VER				0.05	0.05	0.05																									
ribouler		ʁi.bu.le	ribouler	VER	VER				0.05	0.05	0.05																									
rodave		ʁɔ.dav	rodave	VER	VER				0.05	0.05	0.05																									
rougepiluler		ʁuʒ.pi.ly.le	rougepiluler	VER	VER				0.05	0.05	0.05																									
sah		sah	sah	ADJ	ADJ				0.05	0.05	0.05																									
seum		sœm	seum	NOM	NOM	m			0.05	0.05	0.05																									
ship		ʃip	ship	NOM	NOM	m			0.05	0.05	0.05																									
slt			slt	INT	INT				0.05	0.05	0.05																									
srol		sʁɔl	srol	NOM	NOM	m			0.05	0.05	0.05																									
staline		sta.lin	staline	NOM	NOM	m			0.05	0.05	0.05																									
styfe		stajf	styfe	NOM	NOM	f			0.05	0.05	0.05																									
tinée		ti.ne	tinée	NOM	NOM	f			0.05	0.05	0.05																									
tjr			tjr	ADV	ADV				0.05	0.05	0.05																									
toustes		tust	toustes	ADJ	ADJ		p		0.05	0.05	0.05																									
tuse			tuse	VER	VER		s		0.05	0.05	0.05																									
tusent			tusent	VER	VER		p		0.05	0.05	0.05																									
tuses			tuses	VER	VER		s		0.05	0.05	0.05																									
ubérisation		y.be.ʁi.za.sjɔ̃	ubérisation	NOM	NOM	f			0.05	0.05	0.05																									
viendez		vjɛ̃.de	viendez	INT	INT				0.05	0.05	0.05																									
vsy			vsy	INT	INT				0.05	0.05	0.05																									
wallah		wa.la	wallah	INT	INT				0.05	0.05	0.05																									
we		wə	we	INT	INT				0.05	0.05	0.05																									
wi		wi	wi	INT	INT				0.05	0.05	0.05																									
wlh			wlh	INT	INT				0.05	0.05	0.05																									
étudianx		e.ty.djɑ̃ks	étudianx	NOM	NOM				0.05	0.05	0.05																									
